"FileName","SheetName","Dimensions","IsLikelyNonTabular","HeaderPreview"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2a-FA","48 x 5",FALSE,"White matter tracts | Beta | T-value | P-value | P-bof"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2b-FA","11042 x 3",FALSE,"Count_Greater_Than_2.6 | Count_Less_Than_-2.6 | d factor score"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2a-GM","139 x 5",FALSE,"Grey matter region | Beta | T-value | P-value | P-bof"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2b-GMV","11042 x 3",FALSE,"Count_Greater_Than_2.6 | Count_Less_Than_-2.6 | d factor score"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig3b","82 x 8",FALSE,"Category | GeneSet | N_genes | N_overlap | p | adjP | genes | link"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig3c","11 x 10",FALSE,"Category | ID | Name | p-value | q-value Bonferroni | q-value FDR B&H | q-value FDR B&Y | Hit Count in Query List | Hit Count in Genome | Hit in Query List"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig3d","34 x 5",FALSE,"Feature | rg | se | P_value_original | P_value_FDR"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig4-MR","16 x 23",FALSE,"SNP | effect_allele.exposure | other_allele.exposure | samplesize.exposure | eaf.exposure | beta.exposure | se.exposure | P.x | exposure | mr_keep.exposure | pval_origin.exposure | id.exposure | CHR | F | BP | P.y | TOTAL | NSIG | S05 | S01 | S001 | S0001 | SP2"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig4-FA","10383 x 52",FALSE,"anterior corona radiata (left) | anterior corona radiata (right) | anterior limb of internal capsule (left) | anterior limb of internal capsule (right) | body of corpus callosum | cerebral peduncle (left) | cerebral peduncle (right) | cingulum cingulate gyrus (left) | cingulum cingulate gyrus (right) | cingulum hippocampus (left) | cingulum hippocampus (right) | corticospinal tract (left) | corticospinal tract (right) | external capsule (left) | external capsule (right) | fornix | fornix cres+stria terminalis (left) | fornix cres+stria terminalis (right) | genu of corpus callosum | inferior cerebellar peduncle (left) | inferior cerebellar peduncle (right) | medial lemniscus (left) | medial lemniscus (right) | middle cerebellar peduncle | pontine crossing tract | posterior corona radiata (left) | posterior corona radiata (right) | posterior limb of internal capsule (left) | posterior limb of internal capsule (right) | posterior thalamic radiation (left) | posterior thalamic radiation (right) | retrolenticular part of internal capsule (left) | retrolenticular part of internal capsule (right) | sagittal stratum (left) | sagittal stratum (right) | splenium of corpus callosum | superior cerebellar peduncle (left) | superior cerebellar peduncle (right) | superior corona radiata (left) | superior corona radiata (right) | superior fronto-occipital fasciculus (left) | superior fronto-occipital fasciculus (right) | superior longitudinal fasciculus (left) | superior longitudinal fasciculus (right) | tapetum (left) | tapetum (right) | uncinate fasciculus (left) | uncinate fasciculus (right) | age | sex | Index of Multiple Deprivation (England) | d factor(esem)"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig4-GMV","10383 x 143",FALSE,"Amygdala (left) | Amygdala (right) | Angular Gyrus (left) | Angular Gyrus (right) | Brain-Stem | Caudate (left) | Caudate (right) | Central Opercular Cortex (left) | Central Opercular Cortex (right) | Cingulate Gyrus, anterior division (left) | Cingulate Gyrus, anterior division (right) | Cingulate Gyrus, posterior division (left) | Cingulate Gyrus, posterior division (right) | Crus I Cerebellum (left) | Crus I Cerebellum (right) | Crus I Cerebellum (vermis) | Crus II Cerebellum (left) | Crus II Cerebellum (right) | Crus II Cerebellum (vermis) | Cuneal Cortex (left) | Cuneal Cortex (right) | Frontal Medial Cortex (left) | Frontal Medial Cortex (right) | Frontal Operculum Cortex (left) | Frontal Operculum Cortex (right) | Frontal Orbital Cortex (left) | Frontal Orbital Cortex (right) | Frontal Pole (left) | Frontal Pole (right) | Heschl's Gyrus (includes H1 and H2) (left) | Heschl's Gyrus (includes H1 and H2) (right) | Hippocampus (left) | Hippocampus (right) | I-IV Cerebellum (left) | I-IV Cerebellum (right) | Inferior Frontal Gyrus, pars opercularis (left) | Inferior Frontal Gyrus, pars opercularis (right) | Inferior Frontal Gyrus, pars triangularis (left) | Inferior Frontal Gyrus, pars triangularis (right) | Inferior Temporal Gyrus, anterior division (left) | Inferior Temporal Gyrus, anterior division (right) | Inferior Temporal Gyrus, posterior division (left) | Inferior Temporal Gyrus, posterior division (right) | Inferior Temporal Gyrus, temporooccipital part (left) | Inferior Temporal Gyrus, temporooccipital part (right) | Insular Cortex (left) | Insular Cortex (right) | Intracalcarine Cortex (left) | Intracalcarine Cortex (right) | IX Cerebellum (left) | IX Cerebellum (right) | IX Cerebellum (vermis) | Juxtapositional Lobule Cortex (left) | Juxtapositional Lobule Cortex(right) | Lateral Occipital Cortex, inferior division (left) | Lateral Occipital Cortex, inferior division (right) | Lateral Occipital Cortex, superior division (left) | Lateral Occipital Cortex, superior division (right) | Lingual Gyrus (left) | Lingual Gyrus (right) | Middle Frontal Gyrus (left) | Middle Frontal Gyrus (right) | Middle Temporal Gyrus, anterior division (left) | Middle Temporal Gyrus, anterior division (right) | Middle Temporal Gyrus, posterior division (left) | Middle Temporal Gyrus, posterior division (right) | Middle Temporal Gyrus, temporooccipital part (left) | Middle Temporal Gyrus, temporooccipital part (right) | Occipital Fusiform Gyrus (left) | Occipital Fusiform Gyrus (right) | Occipital Pole (left) | Occipital Pole (right) | Pallidum (left) | Pallidum (right) | Paracingulate Gyrus (left) | Paracingulate Gyrus (right) | Parahippocampal Gyrus, anterior division (left) | Parahippocampal Gyrus, anterior division (right) | Parahippocampal Gyrus, posterior division (left) | Parahippocampal Gyrus, posterior division (right) | Parietal Operculum Cortex (left) | Parietal Operculum Cortex (right) | Planum Polare (left) | Planum Polare (right) | Planum Temporale (left) | Planum Temporale (right) | Postcentral Gyrus (left) | Postcentral Gyrus (right) | Precentral Gyrus (left) | Precentral Gyrus (right) | Precuneous Cortex (left) | Precuneous Cortex (right) | Putamen (left) | Putamen (right) | Subcallosal Cortex (left) | Subcallosal Cortex (right) | Superior Frontal Gyrus (left) | Superior Frontal Gyrus (right) | Superior Parietal Lobule (left) | Superior Parietal Lobule (right) | Superior Temporal Gyrus, anterior division (left) | Superior Temporal Gyrus, anterior division (right) | Superior Temporal Gyrus, posterior division (left) | Superior Temporal Gyrus, posterior division (right) | Supracalcarine Cortex (left) | Supracalcarine Cortex (right) | Supramarginal Gyrus, anterior division (left) | Supramarginal Gyrus, anterior division (right) | Supramarginal Gyrus, posterior division (left) | Supramarginal Gyrus, posterior division (right) | Temporal Fusiform Cortex, anterior division (left) | Temporal Fusiform Cortex, anterior division (right) | Temporal Fusiform Cortex, posterior division (left) | Temporal Fusiform Cortex, posterior division (right) | Temporal Occipital Fusiform Cortex (left) | Temporal Occipital Fusiform Cortex (right) | Temporal Pole (left) | Temporal Pole (right) | Thalamus (left) | Thalamus (right) | V Cerebellum (left) | V Cerebellum (right) | Ventral Striatum (left) | Ventral Striatum (right) | VI Cerebellum (left) | VI Cerebellum (right) | VI Cerebellum (vermis) | VIIb Cerebellum (left) | VIIb Cerebellum (right) | VIIb Cerebellum (vermis) | VIIIa Cerebellum (left) | VIIIa Cerebellum (right) | VIIIa Cerebellum (vermis) | VIIIb Cerebellum (left) | VIIIb Cerebellum (right) | VIIIb Cerebellum (vermis) | X Cerebellum (left) | X Cerebellum (right) | X Cerebellum (vermis) | age | sex | Index of Multiple Deprivation (England) | d factor(esem)"
