"SourceFile","ExifToolVersion","FileName","Directory","FileSize","FileModifyDate","FileAccessDate","FileCreateDate","FilePermissions","FileType","FileTypeExtension","MIMEType","ExifByteOrder","ImageWidth","ImageHeight","BitsPerSample","Compression","PhotometricInterpretation","ImageDescription","StripOffsets","SamplesPerPixel","RowsPerStrip","StripByteCounts","PlanarConfiguration","SampleFormat","ImageSize","Megapixels"
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe002_summary.tif",13.38,"AuaC_cubic_corr1_R_01_recipe002_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",43132520,"2025:07:24 10:24:13-04:00","2025:10:14 11:49:31-04:00","2025:07:24 10:24:09-04:00",100666,"TIFF","TIF","image/tiff","II",5316,3764,16,5,1,"AuaC_cubic_corr1_R_01_recipe002",8,1,3764,43132330,1,1,"5316 3764",20.009424
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe003_summary.tif",13.38,"AuaC_cubic_corr1_R_01_recipe003_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",47599380,"2025:07:24 10:24:05-04:00","2025:10:14 11:49:31-04:00","2025:07:24 10:24:01-04:00",100666,"TIFF","TIF","image/tiff","II",5316,3764,16,5,1,"AuaC_cubic_corr1_R_01_recipe003",8,1,3764,47599190,1,1,"5316 3764",20.009424
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe004_summary.tif",13.38,"AuaC_cubic_corr1_R_01_recipe004_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",47098575,"2025:07:24 10:24:09-04:00","2025:10:14 11:49:31-04:00","2025:07:24 10:24:02-04:00",100666,"TIFF","TIF","image/tiff","II",5316,3764,16,5,1,"AuaC_cubic_corr1_R_01_recipe004, Pixel Size: 2.49e-01, FFT pixel x: 2.12e-03, FFT pixel y:2.13e-03",8,1,3764,47098317,1,1,"5316 3764",20.009424
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe005_summary.tif",13.38,"AuaC_cubic_corr1_R_01_recipe005_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",47036065,"2025:07:24 10:24:06-04:00","2025:10:14 11:49:32-04:00","2025:07:24 10:24:02-04:00",100666,"TIFF","TIF","image/tiff","II",5316,3764,16,5,1,"AuaC_cubic_corr1_R_01_recipe005, Pixel Size: 2.49e-01, FFT pixel x: 2.12e-03, FFT pixel y:2.13e-03",8,1,3764,47035807,1,1,"5316 3764",20.009424
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe006_summary.tif",13.38,"AuaC_cubic_corr1_R_01_recipe006_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",46918931,"2025:07:24 10:24:06-04:00","2025:10:14 11:49:32-04:00","2025:07:24 10:24:03-04:00",100666,"TIFF","TIF","image/tiff","II",5316,3764,16,5,1,"AuaC_cubic_corr1_R_01_recipe006, Pixel Size: 2.49e-01, FFT pixel x: 2.12e-03, FFT pixel y:2.13e-03",8,1,3764,46918674,1,1,"5316 3764",20.009424
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setA_R_01_recipe002_summary.tif",13.38,"AuaC_cubic_corr1_setA_R_01_recipe002_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",68577769,"2025:07:24 10:23:04-04:00","2025:10:14 11:49:32-04:00","2025:07:24 10:22:54-04:00",100666,"TIFF","TIF","image/tiff","II",6792,4712,16,5,1,"AuaC_cubic_corr1_setA_R_01_recipe002",8,1,4712,68577573,1,1,"6792 4712",32.003904
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setA_R_01_recipe003_summary.tif",13.38,"AuaC_cubic_corr1_setA_R_01_recipe003_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",74183465,"2025:07:24 10:22:36-04:00","2025:10:14 11:49:33-04:00","2025:07:24 10:22:31-04:00",100666,"TIFF","TIF","image/tiff","II",6792,4712,16,5,1,"AuaC_cubic_corr1_setA_R_01_recipe003",8,1,4712,74183270,1,1,"6792 4712",32.003904
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setA_R_01_recipe004_summary.tif",13.38,"AuaC_cubic_corr1_setA_R_01_recipe004_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",73614978,"2025:07:24 10:22:45-04:00","2025:10:14 11:49:33-04:00","2025:07:24 10:22:41-04:00",100666,"TIFF","TIF","image/tiff","II",6792,4712,16,5,1,"AuaC_cubic_corr1_setA_R_01_recipe004, Pixel Size: 2.49e-01, FFT pixel x: 1.69e-03, FFT pixel y:1.70e-03",8,1,4712,73614715,1,1,"6792 4712",32.003904
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setB_R_01_recipe002_summary.tif",13.38,"AuaC_cubic_corr1_setB_R_01_recipe002_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",68567785,"2025:07:24 10:23:06-04:00","2025:10:14 11:49:34-04:00","2025:07:24 10:22:56-04:00",100666,"TIFF","TIF","image/tiff","II",6790,4694,16,5,1,"AuaC_cubic_corr1_setB_R_01_recipe002",8,1,4694,68567590,1,1,"6790 4694",31.87226
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setB_R_01_recipe003_summary.tif",13.38,"AuaC_cubic_corr1_setB_R_01_recipe003_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",74318511,"2025:07:24 10:22:33-04:00","2025:10:14 11:49:34-04:00","2025:07:24 10:22:28-04:00",100666,"TIFF","TIF","image/tiff","II",6790,4694,16,5,1,"AuaC_cubic_corr1_setB_R_01_recipe003",8,1,4694,74318316,1,1,"6790 4694",31.87226
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setB_R_01_recipe004_summary.tif",13.38,"AuaC_cubic_corr1_setB_R_01_recipe004_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",73431296,"2025:07:24 10:22:54-04:00","2025:10:14 11:49:35-04:00","2025:07:24 10:22:44-04:00",100666,"TIFF","TIF","image/tiff","II",6790,4694,16,5,1,"AuaC_cubic_corr1_setB_R_01_recipe004, Pixel Size: 2.49e-01, FFT pixel x: 1.69e-03, FFT pixel y:1.71e-03",8,1,4694,73431034,1,1,"6790 4694",31.87226
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe002_summary.tif",13.38,"AuaC_second_corr_R_01_recipe002_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",46128780,"2025:07:24 10:24:09-04:00","2025:10:14 11:49:35-04:00","2025:07:24 10:24:06-04:00",100666,"TIFF","TIF","image/tiff","II",5486,3934,16,5,1,"AuaC_second_corr_R_01_recipe002",8,1,3934,46128589,1,1,"5486 3934",21.581924
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe003_summary.tif",13.38,"AuaC_second_corr_R_01_recipe003_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",50175088,"2025:07:24 10:23:58-04:00","2025:10:14 11:49:35-04:00","2025:07:24 10:23:54-04:00",100666,"TIFF","TIF","image/tiff","II",5486,3934,16,5,1,"AuaC_second_corr_R_01_recipe003",8,1,3934,50174897,1,1,"5486 3934",21.581924
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe004_summary.tif",13.38,"AuaC_second_corr_R_01_recipe004_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",50074647,"2025:07:24 10:24:02-04:00","2025:10:14 11:49:35-04:00","2025:07:24 10:23:58-04:00",100666,"TIFF","TIF","image/tiff","II",5486,3934,16,5,1,"AuaC_second_corr_R_01_recipe004, Pixel Size: 2.38e-01, FFT pixel x: 2.13e-03, FFT pixel y:2.14e-03",8,1,3934,50074389,1,1,"5486 3934",21.581924
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe005_summary.tif",13.38,"AuaC_second_corr_R_01_recipe005_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",50098303,"2025:07:24 10:24:01-04:00","2025:10:14 11:49:36-04:00","2025:07:24 10:23:58-04:00",100666,"TIFF","TIF","image/tiff","II",5486,3934,16,5,1,"AuaC_second_corr_R_01_recipe005, Pixel Size: 2.38e-01, FFT pixel x: 2.13e-03, FFT pixel y:2.14e-03",8,1,3934,50098046,1,1,"5486 3934",21.581924
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe006_summary.tif",13.38,"AuaC_second_corr_R_01_recipe006_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",50159467,"2025:07:24 10:23:59-04:00","2025:10:14 11:49:36-04:00","2025:07:24 10:23:54-04:00",100666,"TIFF","TIF","image/tiff","II",5486,3934,16,5,1,"AuaC_second_corr_R_01_recipe006, Pixel Size: 2.38e-01, FFT pixel x: 2.13e-03, FFT pixel y:2.14e-03",8,1,3934,50159210,1,1,"5486 3934",21.581924
"D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe017_summary.tif",13.38,"AuaC_second_corr_R_01_recipe017_summary.tif","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions",48228532,"2025:07:24 10:24:02-04:00","2025:10:14 11:49:36-04:00","2025:07:24 10:23:58-04:00",100666,"TIFF","TIF","image/tiff","II",5486,3934,16,5,1,"AuaC_second_corr_R_01_recipe017",8,1,3934,48228341,1,1,"5486 3934",21.581924
