"format","width","height","colorspace","matte","filesize","density","SourceFile"
"TIFF",5316,3764,"Gray",FALSE,43132520,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe002_summary.tif"
"TIFF",5316,3764,"Gray",FALSE,47599380,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe003_summary.tif"
"TIFF",5316,3764,"Gray",FALSE,47098575,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe004_summary.tif"
"TIFF",5316,3764,"Gray",FALSE,47036065,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe005_summary.tif"
"TIFF",5316,3764,"Gray",FALSE,46918931,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_R_01_recipe006_summary.tif"
"TIFF",6792,4712,"Gray",FALSE,68577769,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setA_R_01_recipe002_summary.tif"
"TIFF",6792,4712,"Gray",FALSE,74183465,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setA_R_01_recipe003_summary.tif"
"TIFF",6792,4712,"Gray",FALSE,73614978,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setA_R_01_recipe004_summary.tif"
"TIFF",6790,4694,"Gray",FALSE,68567785,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setB_R_01_recipe002_summary.tif"
"TIFF",6790,4694,"Gray",FALSE,74318511,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setB_R_01_recipe003_summary.tif"
"TIFF",6790,4694,"Gray",FALSE,73431296,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_cubic_corr1_setB_R_01_recipe004_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,46128780,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe002_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,50175088,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe003_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,50074647,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe004_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,50098303,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe005_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,50159467,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe006_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,48228532,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe017_summary.tif"
"TIFF",5486,3934,"Gray",FALSE,51374810,"72x72","D://Alliance/FRDR/Curation/2025/1352/files/Reconstructions/AuaC_second_corr_R_01_recipe018_summary.tif"
