"FileName","FileType","Packages","AbsPathsFound","PotentialTokens","Status"
"FileChecks_Code_Script.R","R","tidyverse",1,0,"Success"
"FileChecks_csv_Script.R","R","tidyverse, rstudioapi",0,0,"Success"
"FileChecks_Extensions_Script.R","R","tidyverse, rstudioapi",0,0,"Success"
"FileOpen_dta_Script.R","R","tidyverse, haven, rstudioapi",0,0,"Success"
"FileOpen_ipynb_Script.R","R","tidyverse, jsonlite",0,0,"Success"
"FileOpen_json_Script.R","R","tidyverse, jsonlite, rstudioapi",0,0,"Success"
"FileOpen_sas7bdat_Script.R","R","tidyverse, haven, sas7bdat",0,0,"Success"
"FileOpen_sav_Script.R","R","tidyverse, haven, rstudioapi",0,0,"Success"
"FileOpen_xlsx_Script.R","R","tidyverse, readxl, rstudioapi",0,0,"Success"
"FileOpen_xml_Script.R","R","tidyverse, xml2",0,0,"Success"
"01-introduction.qmd","qmd","",0,0,"Success"
"Code_and_Software.qmd","qmd","",1,0,"Success"
"Check_CSVs.R","R","tidyverse",0,0,"Success"
"Check_images.R","R","exiftoolr, magick, tidyverse",0,0,"Success"
"Check_netCDF.R","R","tidync, dplyr, tidyr",0,0,"Success"
"FileExtensionGen.R","R","tidyverse",0,0,"Success"
"OpenFiles_gpkg.qmd","qmd","sf",0,0,"Success"
"Tables_ColumnName_Consistency.qmd","qmd","",0,0,"Success"
"Data_General.qmd","qmd","",0,0,"Success"
"Data_Geospatial.qmd","qmd","",0,0,"Success"
"Data_Image.qmd","qmd","",0,0,"Success"
"Data_Scientific.qmd","qmd","",0,0,"Success"
"Data_Structured.qmd","qmd","",0,0,"Success"
"Data_Tabular.qmd","qmd","",0,0,"Success"
"FileChecks_Code_Notebook.qmd","qmd","tidyverse, rstudioapi",4,0,"Success"
"FileChecks_csv_Notebook.qmd","qmd","tidyverse, rstudioapi",0,0,"Success"
"FileChecks_Extensions_Notebook.qmd","qmd","tidyverse",1,0,"Success"
"FileChecks_Images_Notebook.qmd","qmd","tidyverse, magick, exiftoolr, rstudioapi",1,0,"Success"
"FileOpen_dta_Notebook.qmd","qmd","tidyverse, haven, rstudioapi",1,0,"Success"
"FileOpen_gpkg_Notebook.qmd","qmd","sf, tidyverse, leaflet",1,0,"Success"
"FileOpen_hdf5_Notebook.qmd","qmd","tidyverse, hdf5r, rstudioapi",1,0,"Success"
"FileOpen_ipynb_Notebook.qmd","qmd","tidyverse, jsonlite, rstudioapi",1,0,"Success"
"FileOpen_json_Notebook.qmd","qmd","tidyverse, jsonlite, rstudioapi",1,0,"Success"
"FileOpen_mat_Notebook.qmd","qmd","tidyverse, R.matlab, hdf5r, rstudioapi",0,0,"Success"
"FileOpen_nc_Notebook.qmd","qmd","tidyverse, tidync, rstudioapi",1,0,"Success"
"FileOpen_sas7bdat_Notebook.qmd","qmd","tidyverse, haven, sas7bdat, rstudioapi",1,0,"Success"
"FileOpen_sav_Notebook.qmd","qmd","tidyverse, haven, rstudioapi",1,0,"Success"
"FileOpen_xlsx_Notebook.qmd","qmd","tidyverse, readxl, rstudioapi",1,0,"Success"
"FileOpen_xml_Notebook.qmd","qmd","tidyverse, xml2, rstudioapi",1,0,"Success"
"index.qmd","qmd","",0,0,"Success"
"preface.qmd","qmd","",0,0,"Success"
"frdr_filename_check.R","R","",0,0,"Success"
"validate_schema.R","R","",0,0,"Success"
"helpers.R","R","jsonlite, stringr, dplyr, tibble, purrr, glue, fs",0,0,"Success"
"render.R","R","",0,0,"Success"
"reproduce_sas_issue.R","R","haven, sas7bdat, tidyverse",0,0,"Success"
"FileChecks_Code_Script.R","R","tidyverse",1,0,"Success"
"FileChecks_csv_Script.R","R","tidyverse, rstudioapi",0,0,"Success"
"FileChecks_Extensions_Script.R","R","tidyverse, rstudioapi",0,0,"Success"
"FileChecks_Images_Script.R","R","tidyverse, magick, exiftoolr",0,0,"Success"
"FileOpen_dta_Script.R","R","tidyverse, haven, rstudioapi",0,0,"Success"
"FileOpen_gpkg_Script.R","R","sf, tidyverse, rstudioapi",0,0,"Success"
"FileOpen_hdf5_Script.R","R","tidyverse, hdf5r",0,0,"Success"
"FileOpen_ipynb_Script.R","R","tidyverse, jsonlite",0,0,"Success"
"FileOpen_json_Script.R","R","tidyverse, jsonlite, rstudioapi",0,0,"Success"
"FileOpen_mat_Script.R","R","hdf5r, R.matlab, dplyr, purrr, tibble",1,0,"Success"
"FileOpen_nc_Script.R","R","tidyverse, tidync, rstudioapi",0,0,"Success"
"FileOpen_sas7bdat_Script.R","R","tidyverse, haven, sas7bdat",0,0,"Success"
"FileOpen_sav_Script.R","R","tidyverse, haven, rstudioapi",0,0,"Success"
"FileOpen_xlsx_Script.R","R","tidyverse, readxl, rstudioapi",0,0,"Success"
"FileOpen_xml_Script.R","R","tidyverse, xml2",0,0,"Success"
"verify_fix.R","R","haven, sas7bdat, tidyverse",0,0,"Success"
"verify_hdf5.R","R","hdf5r, tidyverse",0,0,"Success"
