FileName,Variable,Label,Type,Missing_Count
DATASET_KE.dta,EpidNo,EpidNo,character,0
DATASET_KE.dta,state,State,haven_labelled,0
DATASET_KE.dta,epiweek,WkOnset,haven_labelled,0
DATASET_KE.dta,season,Season,haven_labelled,0
DATASET_KE.dta,setting,Cholera case setting,haven_labelled,477
DATASET_KE.dta,healthfac_type,Type of health facility,haven_labelled,28298
DATASET_KE.dta,geo,Geopolitical zone,haven_labelled,0
DATASET_KE.dta,sex,Gender,haven_labelled,1
DATASET_KE.dta,age,Age Continuous,numeric,1361
DATASET_KE.dta,age_cat,Age categorical,haven_labelled,1361
DATASET_KE.dta,age_cat2,Age childn vs adults,haven_labelled,1361
DATASET_KE.dta,rdt_cat,RDT categorical,haven_labelled,42900
DATASET_KE.dta,rdt_bin,RDT binary,haven_labelled,42903
DATASET_KE.dta,cult_cat,Culture categorical,haven_labelled,43859
DATASET_KE.dta,cult_bin,Culture binary,haven_labelled,43863
DATASET_KE.dta,outcome,Clinical outcome,haven_labelled,0
DATASET_KE.dta,heathfac_presn,Did patient present to a health facility?,haven_labelled,17676
DATASET_KE.dta,sample_tak,Was stool taken for test?,haven_labelled,21260
DATASET_KE.dta,tested,Was sample tested?,haven_labelled,0
DATASET_KE.dta,sec,Insurgency activities,haven_labelled,0
DATASET_KE.dta,flood,Flooding in 2018,haven_labelled,0
DATASET_KE.dta,flood_cat,Severity of flooding in 2018,haven_labelled,0
DATASET_KE.dta,lga_new,LGA,haven_labelled,0
