"FileName","VariableName","VariableLabel","DataType","ValueLabels"
"DATASET_KE.dta","EpidNo","EpidNo","character",""
"DATASET_KE.dta","state","State","haven_labelled","1=Adamawa; 2=Anambra; 3=Bauchi; 4=Borno; 5=Ebonyi; 6=FCT; 7=Gombe; 8=Jigawa; 9=Kaduna; 10=Kano; 11=K"
"DATASET_KE.dta","epiweek","WkOnset","haven_labelled","1=Missing; 2=W01; 3=W02; 4=W03; 5=W04; 6=W05; 7=W06; 8=W07; 9=W08; 10=W09; 11=W10; 12=W11; 13=W12; 1"
"DATASET_KE.dta","season","Season","haven_labelled","0=dry season; 1=rainy season"
"DATASET_KE.dta","setting","Cholera case setting","haven_labelled","0=rural; 1=peri-urban; 2=urban"
"DATASET_KE.dta","healthfac_type","Type of health facility","haven_labelled","0=Primary; 1=Secondary; 2=Tertiary; 3=Private; 4=CTC; 5=Home"
"DATASET_KE.dta","geo","Geopolitical zone","haven_labelled","1=south-east; 2=north-central; 3=north-west; 4=north-east"
"DATASET_KE.dta","sex","Gender","haven_labelled","0=female; 1=male"
"DATASET_KE.dta","age","Age Continuous","numeric",""
"DATASET_KE.dta","age_cat","Age categorical","haven_labelled","0=Less than 2 yrs; 1=2-4 yrs; 2=5-10 yrs; 3=11-14 yrs; 4=15 years & above"
"DATASET_KE.dta","age_cat2","Age childn vs adults","haven_labelled","0=Less than 5 years; 1=5-17 years; 2=>=18 years"
"DATASET_KE.dta","rdt_cat","RDT categorical","haven_labelled","0=negative; 1=positive; 2=pending"
"DATASET_KE.dta","rdt_bin","RDT binary","haven_labelled","0=negative; 1=positive; 2=pending"
"DATASET_KE.dta","cult_cat","Culture categorical","haven_labelled","0=negative; 1=positive; 2=pending"
"DATASET_KE.dta","cult_bin","Culture binary","haven_labelled","0=negative; 1=positive"
"DATASET_KE.dta","outcome","Clinical outcome","haven_labelled","0=alive; 1=dead"
"DATASET_KE.dta","heathfac_presn","Did patient present to a health facility?","haven_labelled","0=no; 1=yes"
"DATASET_KE.dta","sample_tak","Was stool taken for test?","haven_labelled","0=no; 1=yes"
"DATASET_KE.dta","tested","Was sample tested?","haven_labelled","0=no; 1=yes"
"DATASET_KE.dta","sec","Insurgency activities","haven_labelled","0=No insurgency; 1=insurgency"
"DATASET_KE.dta","flood","Flooding in 2018","haven_labelled","0=no flooding in 2018; 1=reported flooding i 2018"
"DATASET_KE.dta","flood_cat","Severity of flooding in 2018","haven_labelled","0=no flooding in 2018; 1=mild flooding in 2018; 2=severe flooding in 2018"
"DATASET_KE.dta","lga_new","LGA","haven_labelled","1=ANKA; 2=ASKIRA UBA; 3=Ajaokuta; 4=Akko; 5=Albasu; 6=Alkaleri; 7=Anambra West; 8=Anka; 9=Argungu; 1"
