FileName,Size_MB,Layer_Name,Geometry_Type,CRS,Features,Fields,Status
20230606_cbblackburn3_p1.gpkg,0.52,20230606_cbblackburn3_p1_labels_points,Point,WGS 84 / UTM zone 19N,43,18,Success
20230606_cbblackburn3_p1.gpkg,0.52,20230606_cbblackburn3_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,145,3,Success
20230606_cbblackburn4_p1.gpkg,1.3,20230606_cbblackburn4_p1_labels_points,Point,WGS 84 / UTM zone 19N,290,18,Success
20230606_cbblackburn4_p1.gpkg,1.3,20230606_cbblackburn4_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,775,3,Success
20230606_cbblackburn5_p1.gpkg,0.86,20230606_cbblackburn5_p1_labels_points,Point,WGS 84 / UTM zone 19N,207,18,Success
20230606_cbblackburn5_p1.gpkg,0.86,20230606_cbblackburn5_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,603,3,Success
20230608_cbbernard1_p1.gpkg,1.14,20230608_cbbernard1_p1_labels_points,Point,WGS 84 / UTM zone 19N,54,18,Success
20230608_cbbernard1_p1.gpkg,1.14,20230608_cbbernard1_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,235,3,Success
20230608_cbbernard2_p1.gpkg,0.45,20230608_cbbernard2_p1_labels_points,Point,WGS 84 / UTM zone 19N,15,18,Success
20230608_cbbernard2_p1.gpkg,0.45,20230608_cbbernard2_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,75,3,Success
20230608_cbbernard3_p1.gpkg,1.9,20230608_cbbernard3_p1_labels_points,Point,WGS 84 / UTM zone 19N,301,18,Success
20230608_cbbernard3_p1.gpkg,1.9,20230608_cbbernard3_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,1300,3,Success
20230609_cbserpentin1_p1.gpkg,0.17,20230609_cbserpentin1_p1_labels_points,Point,WGS 84 / UTM zone 19N,38,18,Success
20230609_cbserpentin1_p1.gpkg,0.17,20230609_cbserpentin1_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,25,3,Success
20230609_cbserpentin2_p1.gpkg,0.23,20230609_cbserpentin2_p1_labels_points,Point,WGS 84 / UTM zone 19N,26,18,Success
20230609_cbserpentin2_p1.gpkg,0.23,20230609_cbserpentin2_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,39,3,Success
20230712_afcagauthier_itrf20_p1.gpkg,0.98,20230712_afcagauthier_itrf20_p1_labels_points,Point,WGS 84 / UTM zone 19N,412,18,Success
20230712_afcagauthier_itrf20_p1.gpkg,0.98,20230712_afcagauthier_itrf20_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,500,3,Success
20230712_afcagauthmelpin_itrf20_p1.gpkg,2.21,20230712_afcagauthmelpin_itrf20_p1_labels_points,Point,WGS 84 / UTM zone 19N,649,18,Success
20230712_afcagauthmelpin_itrf20_p1.gpkg,2.21,20230712_afcagauthmelpin_itrf20_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,1674,3,Success
20230712_afcahoule_itrf20_p1.gpkg,2.34,20230712_afcahoule_itrf20_p1_labels_points,Point,WGS 84 / UTM zone 19N,373,18,Success
20230712_afcahoule_itrf20_p1.gpkg,2.34,20230712_afcahoule_itrf20_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,1005,3,Success
20230712_afcamoisan_itrf20_p1.gpkg,1.07,20230712_afcamoisan_itrf20_p1_labels_points,Point,WGS 84 / UTM zone 19N,440,18,Success
20230712_afcamoisan_itrf20_p1.gpkg,1.07,20230712_afcamoisan_itrf20_p1_labels_masks,Polygon,WGS 84 / UTM zone 19N,630,3,Success
