FileName,FileType,Syntax_Check,Packages,AbsPathsFound,Other_Risks,Potential_Secrets,Status
Inspect_Code_Script.R,R,Valid,"purrr, readr, rstudioapi, tidyverse, tools",3,,0,Success
Inspect_Containers_Script.R,R,Valid,"archive, fs, tidyverse",0,,0,Success
Inspect_csv_Script.R,R,Valid,"purrr, readr, rstudioapi, skimr, tidyverse, tools",0,,0,Success
Inspect_dta_Script.R,R,Valid,"haven, labelled, purrr, rstudioapi, tidyverse, tools",0,,0,Success
Inspect_Extensions_Script.R,R,Valid,"exiftoolr, tidyverse, tools",0,,0,Success
Inspect_gpkg_Script.R,R,Valid,"purrr, rstudioapi, sf, tidyverse, tools",0,,0,Success
Inspect_hdf5_Script.R,R,Valid,"hdf5r, purrr, rstudioapi, tidyverse",0,,0,Success
Inspect_Images_Script.R,R,Valid,"digest, exiftoolr, magick, purrr, tidyverse",0,,0,Success
Inspect_ipynb_Script.R,R,Valid,"jsonlite, purrr, stringr, tidyverse",0,,0,Success
Inspect_json_Script.R,R,Valid,"jsonlite, tidyverse",0,,0,Success
Inspect_mat_Script.R,R,Valid,"R.matlab, rhdf5, stringr, tidyverse",0,,0,Success
Inspect_nc_Script.R,R,Valid,"ncmeta, purrr, tidync, tidyverse",0,,0,Success
Inspect_OCR_Script.R,R,Valid,"daiR, httr, pdftools, stringr, tidyverse",0,,0,Success
Inspect_PDF_Script.R,R,Valid,"pdftools, tidyverse",0,,0,Success
Inspect_sas7bdat_Script.R,R,Valid,"haven, purrr, sas7bdat, stringr, tidyverse",0,,0,Success
Inspect_sav_Script.R,R,Valid,"haven, purrr, stringr, tidyverse",0,,0,Success
Inspect_Text_Script.R,R,Valid,"readr, stringr, tidyverse",0,,0,Success
Inspect_tiff_Script.R,R,Valid,"magick, tidyverse",0,,0,Success
Inspect_xlsx_Script.R,R,Valid,"readxl, tidyverse, tidyxl",0,,0,Success
Inspect_xml_Script.R,R,Valid,"tidyverse, xml2",0,,0,Success
Check_CSVs.R,R,Valid,tidyverse,0,,0,Success
Check_images.R,R,Valid,"exiftoolr, magick, tidyverse",0,,0,Success
Check_netCDF.R,R,Valid,"dplyr, tidync, tidyr",0,,0,Success
FileExtensionGen.R,R,Valid,tidyverse,0,,0,Success
OpenFiles_gpkg.qmd,qmd,Error: attempt to use zero-length variable name,sf,0,,0,Success
Tables_ColumnName_Consistency.qmd,qmd,Error: ./archive/CurationTools-main/Tables_ColumnName_Consistency.qmd:7:6: unexpected symbol 6:  7: This script         ^,,0,,0,Success
check_fastq.R,R,Valid,"data.table, ShortRead",1,,0,Success
Check_netCDF.R,R,Valid,"dplyr, tidync, tidyr",0,,0,Success
Code_and_Software.qmd,qmd,Error: ./Code_and_Software.qmd:7:10: unexpected symbol 6:  7: Research is             ^,,1,,0,Success
Confocal_40x_ROIs_Pdgfrb_Morpho_Analysis.qmd,qmd,Error: ./data/Inspect_rCode/Confocal_40x_ROIs_Pdgfrb_Morpho_Analysis.qmd:13:27: unexpected symbol 12:     affiliation:  13:       - name: Univerisity Laval                               ^,"bayesplot, bayestestR, brms, datawizard, dplyr, easystats, emmeans, factoextra, FactoMineR, ggcorrplot, ggplot2, gt, gtsummary, modelr, modelsummary, ",0,,0,Success
FlowCytometry_Pdgfrb_Processing.qmd,qmd,Error: ./data/Inspect_rCode/FlowCytometry_Pdgfrb_Processing.qmd:13:27: unexpected symbol 12:     affiliation:  13:       - name: Univerisity Laval                               ^,"CytoML, dplyr, flowAI, flowCore, flowWorkspace, ggcyto, kableExtra, knitr, openCyto, tidyverse",0,,0,Success
Widefield_10x_Ipsilateral_Klf4_Exp.qmd,qmd,Error: ./data/Inspect_rCode/Widefield_10x_Ipsilateral_Klf4_Exp.qmd:13:27: unexpected symbol 12:     affiliation:  13:       - name: Univerisity Laval                               ^,"bayesplot, bayestestR, brms, dplyr, easystats, emmeans, ggplot2, gt, gtsummary, modelbased, modelr, modelsummary, patchwork, plyr, poorman, spatstat, ",0,,0,Success
Data_General.qmd,qmd,Error: ./Data_General.qmd:7:4: unexpected symbol 6:  7: In this       ^,,0,,0,Success
Data_Geospatial.qmd,qmd,Error: ./Data_Geospatial.qmd:7:12: unexpected symbol 6:  7: Geospatial data               ^,,0,,0,Success
Data_Image.qmd,qmd,Error: ./Data_Image.qmd:7:8: unexpected symbol 6:  7: Images are           ^,,0,,0,Success
Data_Scientific.qmd,qmd,Error: ./Data_Scientific.qmd:7:12: unexpected symbol 6:  7: Scientific research               ^,,0,,0,Success
Data_Structured.qmd,qmd,Error: ./Data_Structured.qmd:7:8: unexpected symbol 6:  7: Unlike tabular           ^,,0,,0,Success
Data_Tabular.qmd,qmd,Error: ./Data_Tabular.qmd:7:9: unexpected symbol 6:  7: Tabular data            ^,,0,,0,Success
Documents.qmd,qmd,Error: ./Documents.qmd:7:15: unexpected symbol 6:  7: Documentation is                  ^,,0,,0,Success
index.qmd,qmd,Error: ./index.qmd:9:1: unexpected ':::' 8:  9: :::    ^,,0,,0,Success
Inspect_Code_Notebook.qmd,qmd,Error: ./Inspect_Code_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"DT, purrr, readr, rstudioapi, tidyverse, tools",5,Hard Setwd,0,Success
Inspect_Containers_Notebook.qmd,qmd,Error: ./Inspect_Containers_Notebook.qmd:18:10: unexpected symbol 17:  18: Curators often              ^,"archive, fs, rstudioapi, tidyverse",1,,0,Success
Inspect_csv_Notebook.qmd,qmd,Error: ./Inspect_csv_Notebook.qmd:21:6: unexpected symbol 20:  21: This notebook          ^,"DT, purrr, readr, rstudioapi, skimr, tidyverse, tools",2,,0,Success
Inspect_dta_Notebook.qmd,qmd,Error: ./Inspect_dta_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"DT, haven, labelled, purrr, rstudioapi, skimr, tidyverse, tools",2,,0,Success
Inspect_Extensions_Notebook.qmd,qmd,Error: ./Inspect_Extensions_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"DT, exiftoolr, rstudioapi, tidyverse, tools",2,,0,Success
Inspect_gpkg_Notebook.qmd,qmd,Error: ./Inspect_gpkg_Notebook.qmd:15:6: unexpected symbol 14:  15: This notebook          ^,"DT, leaflet, purrr, rstudioapi, sf, tidyverse, tmap, tools",2,System Call,0,Success
Inspect_hdf5_Notebook.qmd,qmd,Error: ./Inspect_hdf5_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"DT, hdf5r, purrr, rstudioapi, tidyverse",2,,0,Success
Inspect_Images_Notebook.qmd,qmd,Error: ./Inspect_Images_Notebook.qmd:17:6: unexpected symbol 16:  17: This notebook          ^,"digest, exiftoolr, magick, purrr, rstudioapi, tidyverse",1,,0,Success
Inspect_ipynb_Notebook.qmd,qmd,Error: ./Inspect_ipynb_Notebook.qmd:17:9: unexpected symbol 16:  17: Jupyter Notebooks             ^,"jsonlite, purrr, rstudioapi, stringr, tidyverse",1,,0,Success
