"FileName","VariableName","VariableLabel","DataType","ValueLabels","MissingValues","EncodingCheck","Status"
"GovernanceSurvey.sav","ID","(No Label)","numeric","","None","N/A","Success"
"GovernanceSurvey.sav","RecordedDate","Recorded Date","POSIXct","","None","N/A","Success"
"GovernanceSurvey.sav","Q1","Representative
Governance Survey Research
Team: Dr.
Anthony Piscitelli, Conestoga College Dr.
Andrea Perrella, Wilfrid Laurier University InformationYou are
invited to participate in a research project being conducted by Dr. Anthony Piscitelli from Conestoga College. This
research is being conducted to examine how Ontarians wish to be represented by
their school boards. In this survey, we are interested in your opinions about
politics, school boards, and some current issues. The online
survey will take approximately 15 minutes to complete.RisksWe do not anticipate any harm from your participation in
this study. You may omit any questions you do not
wish to answer in this survey.BenefitsWe anticipate several benefits from this research. It will
help to enhance responsiveness of school boards, expand our understanding of
governance, and contribute to the public discourse. ConfidentialityThe results of this study will remain anonymous and
confidential and maintained indefinitely for research purposes. Data will","haven_labelled","1=Yes","None","N/A","Success"
"GovernanceSurvey.sav","Q2","How old you are today?","numeric","","None","N/A","Success"
"GovernanceSurvey.sav","Q3","If a federalelection were held today, which party would you vote for:","haven_labelled","1=The Conservative Party; 10=The Liberal Party; 11=The New Democratic Party (NDP); 12=The Green Part","None","N/A","Success"
"GovernanceSurvey.sav","Q4","Is there a party you are leaning towards in a federal election?","haven_labelled","1=The Conservative Party; 4=The Liberal Party; 5=The New Democratic Party (NDP); 6=The Green Party; ","None","N/A","Success"
"GovernanceSurvey.sav","Q5","If a provincial
election were held today, which party would you vote for:","haven_labelled","1=The Progressive Conservative Party; 4=The Liberal Party; 5=The New Democratic Party (NDP); 6=The G","None","N/A","Success"
"GovernanceSurvey.sav","Q6","Is there a party you are leaning towards in a provincial election?","haven_labelled","1=The Progressive Conservative Party; 4=The Liberal Party; 5=The New Democratic Party (NDP); 6=The G","None","N/A","Success"
"GovernanceSurvey.sav","Q7","Did you happen to vote in the last federal election held in October of
2019?","haven_labelled","1=Yes; 4=No; 5=I was not eligible to vote; 6=Don’t Know","None","N/A","Success"
"GovernanceSurvey.sav","Q8","In politics people sometimes talk
of left and right. On a scale of 1 to 10, where 1 is on the left and 10 is on
the right, where would you place yourself?","haven_labelled","1=Left      1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10      Right","None","N/A","Success"
"GovernanceSurvey.sav","Q9","Which of the
following comes closer to your view?","haven_labelled","1=Government should do more to solve problems; 4=Government is doing too many things that should be ","None","N/A","Success"
"GovernanceSurvey.sav","Q10","Generally speaking, would you
say that most people can be trusted or that you cannot be too careful in
dealing with people?","haven_labelled","1=Most people can be trusted; 2=You cannot be too careful in dealing with people","None","N/A","Success"
