"file","table_name","columns","row_count"
"database.sqlite","Ball_by_Ball","Match_Id, Over_Id, Ball_Id, Innings_No, Team_Batting, Team_Bowling, Striker_Batting_Position, Striker, Non_Striker, Bowler",136590
"database.sqlite","Batsman_Scored","Match_Id, Over_Id, Ball_Id, Runs_Scored, Innings_No",133097
"database.sqlite","Batting_Style","Batting_Id, Batting_hand",2
"database.sqlite","Bowling_Style","Bowling_Id, Bowling_skill",14
"database.sqlite","City","City_Id, City_Name, Country_id",29
"database.sqlite","Country","Country_Id, Country_Name",12
"database.sqlite","Extra_Runs","Match_Id, Over_Id, Ball_Id, Extra_Type_Id, Extra_Runs, Innings_No",7469
"database.sqlite","Extra_Type","Extra_Id, Extra_Name",5
"database.sqlite","Match","Match_Id, Team_1, Team_2, Match_Date, Season_Id, Venue_Id, Toss_Winner, Toss_Decide, Win_Type, Win_Margin, Outcome_type, Match_Winner, Man_of_the_Match",577
"database.sqlite","Out_Type","Out_Id, Out_Name",9
"database.sqlite","Outcome","Outcome_Id, Outcome_Type",3
"database.sqlite","Player","Player_Id, Player_Name, DOB, Batting_hand, Bowling_skill, Country_Name",469
"database.sqlite","Player_Match","Match_Id, Player_Id, Role_Id, Team_Id",12694
"database.sqlite","Rolee","Role_Id, Role_Desc",4
"database.sqlite","Season","Season_Id, Man_of_the_Series, Orange_Cap, Purple_Cap, Season_Year",9
"database.sqlite","Team","Team_Id, Team_Name",13
"database.sqlite","Toss_Decision","Toss_Id, Toss_Name",2
"database.sqlite","Umpire","Umpire_Id, Umpire_Name, Umpire_Country",52
"database.sqlite","Venue","Venue_Id, Venue_Name, City_Id",35
"database.sqlite","Wicket_Taken","Match_Id, Over_Id, Ball_Id, Player_Out, Kind_Out, Fielders, Innings_No",6727
"database.sqlite","Win_By","Win_Id, Win_Type",4
"database.sqlite","sqlite_sequence","name, seq",1
"database.sqlite","sysdiagrams","name, principal_id, diagram_id, version, definition",1
"Formula1.sqlite","circuits","circuitId, circuitRef, name, location, country, lat, lng, alt, url",73
"Formula1.sqlite","constructor_results","constructorResultsId, raceId, constructorId, points, status",11142
"Formula1.sqlite","constructor_standings","constructorStandingsId, raceId, constructorId, points, position, positionText, wins, ",11896
"Formula1.sqlite","constructors","constructorId, constructorRef, name, nationality, url, ",208
"Formula1.sqlite","driver_standings","driverStandingsId, raceId, driverId, points, position, positionText, wins",31726
"Formula1.sqlite","drivers","driverId, driverRef, number, code, forename, surname, dob, nationality, url",842
"Formula1.sqlite","laptimes","raceId, driverId, lap, position, time, milliseconds",426633
"Formula1.sqlite","pitstops","raceId, driverId, stop, lap, time, duration, milliseconds",6251
"Formula1.sqlite","qualifying","qualifyId, raceId, driverId, constructorId, number, position, q1, q2, q3",7516
"Formula1.sqlite","races","raceId, year, round, circuitId, name, date, time, url",997
"Formula1.sqlite","results","resultId, raceId, driverId, constructorId, number, grid, position, positionText, positionOrder, points, laps, time, milliseconds, fastestLap, rank, fastestLapTime, fastestLapSpeed, statusId",23777
"Formula1.sqlite","seasons","year, url",69
"Formula1.sqlite","status","statusId, status",134
