"FileName","SheetName","Dimensions","HeaderPreview","IsMacro","HiddenSheets","Format","LikelyNonTabular","Status"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2a-FA","48 x 5","White matter tracts | Beta | T-value | P-value | P-bof",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2b-FA","11042 x 3","Count_Greater_Than_2.6 | Count_Less_Than_-2.6 | d factor score",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2a-GM","139 x 5","Grey matter region | Beta | T-value | P-value | P-bof",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig2b-GMV","11042 x 3","Count_Greater_Than_2.6 | Count_Less_Than_-2.6 | d factor score",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig3b","82 x 8","Category | GeneSet | N_genes | N_overlap | p ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig3c","11 x 10","Category | ID | Name | p-value | q-value Bonferroni ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig3d","34 x 5","Feature | rg | se | P_value_original | P_value_FDR",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig4-MR","16 x 23","SNP | effect_allele.exposure | other_allele.exposure | samplesize.exposure | eaf.exposure ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig4-FA","10383 x 52","anterior corona radiata (left) | anterior corona radiata (right) | anterior limb of internal capsule (left) | anterior limb of internal capsule (right) | body of corpus callosum ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig4-GMV","10383 x 143","Amygdala (left) | Amygdala (right) | Angular Gyrus (left) | Angular Gyrus (right) | Brain-Stem ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S1","301 x 1","> summary(fit,fit.measures=TRUE, rsquare = TRUE,standardized = TRUE)",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S2a","90 x 5","source_id | target_id | Value | Source | Target",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S2b","21256 x 2","dis count | ESEM_D",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S3-FA","48 x 4","ID in UKB | Index in atlas | Brain_Region | Mean_z_score",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S3-GMV","139 x 4","ID in UKB | Index in atlas | Brain_Region | Mean_z_score",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65055_MOESM9_ESM.xlsx","Fig-S4","11 x 23","SNP | effect_allele.exposure | other_allele.exposure | samplesize.exposure | eaf.exposure ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1b","10 x 3","Figure 1b |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1c","0 x 1","Figure 1c",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1e","11 x 2","Figure 1e | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1g","66 x 2","Figure 1g | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1h","66 x 2","Figure 1h | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1i","0 x 1","Figure 1i",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 1k","5 x 2","Figure 1k | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2a","8 x 11","Figure 2a |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2b","9 x 8","Figure 2b |  |  |  |  ...",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2d","8 x 5","Figure 2d |  |  |  | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2c","0 x 1","Figure 2c",FALSE,"Unknown (Legacy)","XML (Modern)",TRUE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2f","8 x 2","Figure 2f | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2h","8 x 2","Figure 2h | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
"41467_2025_65141_MOESM4_ESM.xlsx","Figure 2j","8 x 2","Figure 2j | ",FALSE,"Unknown (Legacy)","XML (Modern)",FALSE,"Success"
