,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9,Delta_mP.10,Delta_mP.11,Delta_mP.12
DNA_nM,Control_a,Control_b,Control_c,GFP-His6-1_a,GFP-His6-1_b,GFP-His6-1_c,GFP-His6-2_a,GFP-His6-2_b,GFP-His6-2_c,GFP-His6-3_a,GFP-His6-3_b,GFP-His6-3_c
0.976563,-3,0,1,2.333333,1.333333,2.333333,1.333333,2.333333,-1.66667,2.666667,1.666667,0.666667
1.953125,-3,-1,2,2.333333,1.333333,2.333333,0.333333,-0.66667,2.333333,1.666667,-0.33333,0.666667
3.90625,0,-2,-1,3.333333,3.333333,2.333333,-0.66667,1.333333,0.333333,4.666667,2.666667,1.666667
7.8125,0,-2,-1,6.333333,5.333333,3.333333,1.333333,0.333333,0.333333,1.666667,-0.33333,-1.33333
15.625,0,1,0,7.333333,8.333333,7.333333,0.333333,1.333333,1.333333,2.666667,0.666667,1.666667
31.25,1,0,-1,13.33333,11.33333,10.33333,1.333333,2.333333,0.333333,3.666667,0.666667,0.666667
62.5,1,0,1,19.33333,20.33333,16.33333,1.333333,1.333333,0.333333,3.666667,1.666667,2.666667
125,2,2,1,22.33333,-,24.33333,3.333333,3.333333,3.333333,3.666667,3.666667,1.666667
250,2,1,2,25.33333,28.33333,26.33333,3.333333,0.333333,2.333333,5.666667,4.666667,2.666667
500,4,4,2,28.33333,30.33333,30.33333,4.333333,1.333333,2.333333,5.666667,4.666667,2.666667
1000,1,0,1,33.33333,29.33333,30.33333,1.333333,1.333333,0.333333,6.666667,2.666667,0.666667
