,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9,Delta_mP.10,Delta_mP.11,Delta_mP.12
DNA_nM,Control_a,Control_b,Control_c,GFP-His6-1_a,GFP-His6-1_b,GFP-His6-1_c,GFP-His6-2_a,GFP-His6-2_b,GFP-His6-2_c,GFP-His6-3_a,GFP-His6-3_b,GFP-His6-3_c
0.976563,3.666667,2.666667,1.666667,0.333333,1.333333,-0.66667,4,-1,3,2.333333,4.333333,1.333333
1.953125,3.666667,2.666667,1.666667,1.333333,1.333333,-0.66667,4,2,3,4.333333,3.333333,1.333333
3.90625,2.666667,0.666667,2.666667,2.333333,3.333333,2.333333,6,5,5,5.333333,6.333333,5.333333
7.8125,3.666667,0.666667,2.666667,6.333333,4.333333,5.333333,11,6,8,11.33333,11.33333,12.33333
15.625,1.666667,2.666667,1.666667,8.333333,6.333333,8.333333,16,17,15,20.33333,18.33333,20.33333
31.25,1.666667,2.666667,3.666667,13.33333,12.33333,13.33333,23,23,22,27.33333,24.33333,23.33333
62.5,3.666667,3.666667,2.666667,20.33333,18.33333,18.33333,26,23,23,26.33333,25.33333,26.33333
125,5.666667,3.666667,2.666667,25.33333,23.33333,24.33333,27,26,24,27.33333,26.33333,25.33333
250,4.666667,3.666667,2.666667,27.33333,25.33333,27.33333,25,28,23,28.33333,24.33333,26.33333
500,3.666667,5.666667,3.666667,29.33333,27.33333,29.33333,26,28,25,28.33333,24.33333,26.33333
1000,3.666667,3.666667,4.666667,29.33333,30.33333,28.33333,27,26,24,24.33333,26.33333,26.33333
