,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9,Delta_mP.10,Delta_mP.11,Delta_mP.12
DNA_nM,Control_a,Control_b,Control_c,GFP-His6-Co-1_a,GFP-His6-Co-1_b,GFP-His6-Co-1_c,GFP-His6-Co-2_a,GFP-His6-Co-2_b,GFP-His6-Co-2_c,GFP-His6-Co-3_a,GFP-His6-Co-3_b,GFP-His6-Co-3_c
0.976563,3.666667,2.666667,1.666667,2,-2,0,2.333333,1.333333,-0.66667,0.333333,1.333333,1.333333
1.953125,3.666667,2.666667,1.666667,2,-1,0,2.333333,2.333333,0.333333,1.333333,1.333333,2.333333
3.90625,2.666667,0.666667,2.666667,0,-1,0,3.333333,0.333333,-0.66667,2.333333,0.333333,1.333333
7.8125,3.666667,0.666667,2.666667,3,-1,0,3.333333,1.333333,0.333333,1.333333,1.333333,0.333333
15.625,1.666667,2.666667,1.666667,2,0,1,3.333333,2.333333,4.333333,1.333333,1.333333,2.333333
31.25,1.666667,2.666667,3.666667,1,0,0,5.333333,2.333333,3.333333,1.333333,0.333333,1.333333
62.5,3.666667,3.666667,2.666667,2,0,1,8.333333,4.333333,6.333333,2.333333,1.333333,0.333333
125,5.666667,3.666667,2.666667,2,1,0,8.333333,8.333333,8.333333,3.333333,3.333333,3.333333
250,4.666667,3.666667,2.666667,3,1,0,10.33333,8.333333,9.333333,0.333333,4.333333,3.333333
500,3.666667,5.666667,3.666667,3,3,1,12.33333,11.33333,9.333333,1.333333,4.333333,4.333333
1000,3.666667,3.666667,4.666667,3,0,1,11.33333,10.33333,8.333333,4.333333,3.333333,3.333333
