,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
GFP-His6-Co-2_nM,GFP-His6_a,GFP-His6_b,GFP-His6_c,MltF-His6_a,MltF-His6_b,MltF-His6_c
0.976563,2.333333,1.333333,-0.66667,1,0,1
1.953125,2.333333,2.333333,0.333333,-1,-3,1
3.90625,3.333333,0.333333,-0.66667,0,1,-3
7.8125,3.333333,1.333333,0.333333,-1,0,-1
15.625,3.333333,2.333333,4.333333,3,2,-1
31.25,5.333333,2.333333,3.333333,2,0,3
62.5,8.333333,4.333333,6.333333,2,0,2
125,8.333333,8.333333,8.333333,3,3,4
250,10.33333,8.333333,9.333333,5,4,-1
500,12.33333,11.33333,9.333333,3,2,-5
1000,11.33333,10.33333,8.333333,3,1,2
