sample_name	ring_year	ring_no	ring_start_pos	ring_end_pos	number_of_reads	ring_width	ring_dens_avg	ring_dens_min	ring_dens_max	ring_dens_median	ew_start_pos	ew_end_pos	reads_ew	ew_width	ew_dens_avg	ew_dens_min	ew_dens_max	ew_pct	lw_start_pos	lw_end_pos	reads_lw	lw_width	lw_dens_avg	lw_dens_min	lw_dens_max	lw_pct	note	ring_start_pos_inv	ring_end_pos_inv	ew_start_pos_inv	ew_end_pos_inv	lw_start_pos_inv	lw_end_pos_inv
388	2012	10	5.40	2.88	64	2.56	365.474	263.11	587.78	425.4	5.400	3.600	46	1.840	306.997	263.11	441.61	71.8	3.560	2.880	18	.720	514.916	415.28	587.78	28.1		30.44	32.96	30.44	32.24	32.28	32.96
388	2011	9	8.32	5.44	73	2.92	310.885	214.62	610.43	412.5	8.320	5.800	64	2.560	282.749	214.62	454.66	87.6	5.760	5.440	9	.360	510.963	388.85	610.43	12.3		27.52	30.4	27.52	30.04	30.08	30.4
388	2010	8	12.12	8.36	95	3.80	351.259	262.22	731.80	497.0	12.120	8.760	85	3.400	320.669	262.22	476.25	89.4	8.720	8.360	10	.400	611.269	489.45	731.80	10.5		23.72	27.48	23.72	27.08	27.12	27.48
388	2009	7	15.92	12.16	95	3.80	347.257	246.81	699.12	472.9	15.920	12.640	83	3.320	314.423	246.81	493.47	87.3	12.600	12.160	12	.480	574.359	446.01	699.12	12.6		19.92	23.68	19.92	23.2	23.24	23.68
388	2008	6	20.16	15.96	106	4.24	338.612	259.73	649.22	454.4	20.160	16.360	96	3.840	315.465	259.73	502.64	90.5	16.320	15.960	10	.400	560.822	441.70	649.22	9.4		15.68	19.88	15.68	19.48	19.52	19.88
388	2007	5	24.24	20.2	102	4.08	369.487	276.60	684.27	480.4	24.240	20.600	92	3.680	345.97	276.60	477.25	90.1	20.560	20.200	10	.400	585.843	463.94	684.27	9.8		11.6	15.64	11.6	15.24	15.28	15.64
388	2006	4	27.88	24.28	91	3.64	392.173	294.15	735.34	514.7	27.880	24.720	80	3.200	363.273	294.15	497.70	87.9	24.680	24.280	11	.440	602.354	513.48	735.34	12		7.96	11.56	7.96	11.12	11.16	11.56
388	2005	3	31.00	27.92	78	3.12	393.957	294.88	715.33	505.1	31.000	28.320	68	2.720	363.269	294.88	482.24	87.1	28.280	27.920	10	.400	602.637	502.84	715.33	12.8		4.84	7.92	4.84	7.52	7.56	7.92
388	2004	2	34.00	31.04	75	3.00	396.585	316.36	659.62	487.9	34.000	31.520	63	2.520	362.187	316.36	470.88	84	31.480	31.040	12	.480	577.177	470.29	659.62	16		1.84	4.8	1.84	4.32	4.36	4.8
388	2003	1	35.84	34.04	46	1.84	450.17	379.36	624.06	501.7	35.840	34.440	36	1.440	417.781	379.36	507.49	78.2	34.400	34.040	10	.400	566.772	492.46	624.06	21.7		0	1.8	0	1.4	1.44	1.8
