,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9,Delta_mP.10,Delta_mP.11,Delta_mP.12
DNA_nM,Control_a,Control_b,Control_c,GFP-1_a,GFP-1_b,GFP-1_c,GFP-2_a,GFP-2_b,GFP-2_c,GFP-3_a,GFP-3_b,GFP-3_c
0.976563,-3,0,1,1,1,1,2,1,2,2.333333,1.333333,2.333333
1.953125,-3,-1,2,3,2,2,2,4,3,5.333333,3.333333,5.333333
3.90625,0,-2,-1,4,5,3,3,6,5,8.333333,7.333333,6.333333
7.8125,0,-2,-1,9,8,9,7,7,5,13.33333,10.33333,10.33333
15.625,0,1,0,14,13,13,10,11,11,20.33333,20.33333,20.33333
31.25,1,0,-1,23,20,21,16,17,16,27.33333,27.33333,26.33333
62.5,1,0,1,25,24,23,-,-,-,30.33333,29.33333,29.33333
125,2,2,1,29,29,27,21,18,19,31.33333,31.33333,30.33333
250,2,1,2,28,27,27,25,25,25,31.33333,32.33333,31.33333
500,4,4,2,31,29,30,26,28,28,33.33333,32.33333,33.33333
1000,1,0,1,28,29,26,30,28,31,34.33333,33.33333,33.33333
