,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9,Delta_mP.10,Delta_mP.11,Delta_mP.12
DNA_nM,Control_a,Control_b,Control_c,GFP-His6-Co-1_a,GFP-His6-Co-1_b,GFP-His6-Co-1_c,GFP-His6-Co-2_a,GFP-His6-Co-2_b,GFP-His6-Co-2_c,GFP-His6-Co-3_a,GFP-His6-Co-3_b,GFP-His6-Co-3_c
0.976563,-3,0,1,0.333333,0.333333,-1.66667,0,0,0,0.666667,3.666667,-1.33333
1.953125,-3,-1,2,1.333333,0.333333,-0.66667,1,0,-3,2.666667,1.666667,-1.33333
3.90625,0,-2,-1,1.333333,0.333333,-0.66667,0,-1,0,-0.33333,0.666667,-1.33333
7.8125,0,-2,-1,0.333333,0.333333,1.333333,1,0,0,2.666667,1.666667,0.666667
15.625,0,1,0,1.333333,-0.66667,0.333333,0,0,-1,2.666667,1.666667,-0.33333
31.25,1,0,-1,2.333333,0.333333,0.333333,1,-1,0,2.666667,0.666667,2.666667
62.5,1,0,1,3.333333,2.333333,1.333333,2,1,0,3.666667,1.666667,2.666667
125,2,2,1,3.333333,0.333333,2.333333,2,2,1,5.666667,3.666667,3.666667
250,2,1,2,3.333333,0.333333,3.333333,4,3,2,5.666667,2.666667,3.666667
500,4,4,2,3.333333,1.333333,2.333333,5,3,3,5.666667,2.666667,4.666667
1000,1,0,1,2.333333,2.333333,1.333333,7,4,6,3.666667,2.666667,1.666667
