,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9,Delta_mP.10,Delta_mP.11,Delta_mP.12
DNA_nM,Control_a,Control_b,Control_c,GFP-1_a,GFP-1_b,GFP-1_c,GFP-2_a,GFP-2_b,GFP-2_c,GFP-3_a,GFP-3_b,GFP-3_c
0.976563,3.666667,2.666667,1.666667,0.333333,2.333333,-0.66667,2.333333,0.333333,1.333333,0.666667,3.666667,1.666667
1.953125,3.666667,2.666667,1.666667,3.333333,2.333333,2.333333,0.333333,0.333333,-1.66667,6.666667,-4.33333,2.666667
3.90625,2.666667,0.666667,2.666667,4.333333,5.333333,4.333333,1.333333,2.333333,0.333333,6.666667,9.666667,6.666667
7.8125,3.666667,0.666667,2.666667,8.333333,8.333333,7.333333,3.333333,1.333333,4.333333,14.66667,13.66667,12.66667
15.625,1.666667,2.666667,1.666667,11.33333,13.33333,15.33333,5.333333,6.333333,5.333333,20.66667,21.66667,24.66667
31.25,1.666667,2.666667,3.666667,21.33333,23.33333,23.33333,10.33333,9.333333,10.33333,29.66667,30.66667,28.66667
62.5,3.666667,3.666667,2.666667,27.33333,23.33333,25.33333,16.33333,15.33333,11.33333,31.66667,30.66667,30.66667
125,5.666667,3.666667,2.666667,26.33333,26.33333,-,22.33333,20.33333,21.33333,33.66667,30.66667,33.66667
250,4.666667,3.666667,2.666667,27.33333,27.33333,26.33333,24.33333,24.33333,21.33333,34.66667,31.66667,32.66667
500,3.666667,5.666667,3.666667,27.33333,26.33333,28.33333,26.33333,26.33333,24.33333,33.66667,33.66667,34.66667
1000,3.666667,3.666667,4.666667,27.33333,28.33333,25.33333,28.33333,24.33333,24.33333,31.66667,32.66667,30.66667
