,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
GFP-1_nM,GFP-His6_a,GFP-His6_b,GFP-His6_c,MltF-His6_a,MltF-His6_b,MltF-His6_c
0.976563,0.333333,2.333333,-0.66667,3.333333,0.333333,4.333333
1.953125,3.333333,2.333333,2.333333,5.333333,2.333333,4.333333
3.90625,4.333333,5.333333,4.333333,8.333333,8.333333,7.333333
7.8125,8.333333,8.333333,7.333333,11.33333,12.33333,12.33333
15.625,11.33333,13.33333,15.33333,18.33333,18.33333,18.33333
31.25,21.33333,23.33333,23.33333,21.33333,24.33333,22.33333
62.5,27.33333,23.33333,25.33333,26.33333,25.33333,24.33333
125,26.33333,26.33333,-,28.33333,27.33333,28.33333
250,27.33333,27.33333,26.33333,29.33333,28.33333,28.33333
500,27.33333,26.33333,28.33333,29.33333,28.33333,28.33333
1000,27.33333,28.33333,25.33333,30.33333,26.33333,25.33333
