,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
GFP-His6-2_nM,GFP-His6_a,GFP-His6_b,GFP-His6_c,MltF-His6_a,MltF-His6_b,MltF-His6_c
0.976563,4,-1,3,-0.33333,4.666667,0.666667
1.953125,4,2,3,-3.33333,2.666667,-1.33333
3.90625,6,5,5,2.666667,0.666667,-0.33333
7.8125,11,6,8,3.666667,-0.33333,1.666667
15.625,16,17,15,7.666667,4.666667,5.666667
31.25,23,23,22,6.666667,4.666667,6.666667
62.5,26,23,23,11.66667,10.66667,10.66667
125,27,26,24,14.66667,13.66667,11.66667
250,25,28,23,20.66667,14.66667,17.66667
500,26,28,25,23.66667,23.66667,21.66667
1000,27,26,24,25.66667,26.66667,22.66667
