,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
MSA1-T3_nM,GFP_a,GFP_b,GFP_c,GFP-His6_a,GFP-His6_b,GFP-His6_c
0.976563,-1.33333,2.666667,-1.33333,2,3,-2
1.953125,2.666667,1.666667,-1.33333,3,2,0
3.90625,0.666667,-0.33333,-0.33333,0,2,-1
7.8125,0.666667,-0.33333,0.666667,2,0,0
15.625,0.666667,2.666667,0.666667,2,0,2
31.25,2.666667,1.666667,0.666667,6,2,4
62.5,1.666667,-0.33333,2.666667,4,3,3
125,2.666667,0.666667,2.666667,4,2,4
250,3.666667,-1.33333,0.666667,6,4,5
500,4.666667,1.666667,0.666667,8,4,6
1000,1.666667,2.666667,0.666667,3,16,23
