,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6
tNSP3_nM,GFP_a,GFP_b,GFP_c,GFP-His6_a,GFP-His6_b,GFP-His6_c
0.976563,0.333333,2.333333,0.333333,-1.33333,-0.33333,-0.33333
1.953125,2.333333,1.333333,0.333333,0.666667,-1.33333,-2.33333
3.90625,-0.66667,0.333333,-1.66667,-0.33333,-1.33333,-2.33333
7.8125,1.333333,0.333333,1.333333,0.666667,-1.33333,-2.33333
15.625,3.333333,-0.66667,0.333333,-0.33333,-0.33333,-0.33333
31.25,2.333333,2.333333,1.333333,0.666667,1.666667,-2.33333
62.5,4.333333,3.333333,-0.66667,1.666667,1.666667,-0.33333
125,4.333333,1.333333,1.333333,4.666667,0.666667,-0.33333
250,4.333333,1.333333,4.333333,3.666667,4.666667,0.666667
500,9.333333,7.333333,3.333333,2.666667,2.666667,2.666667
1000,9.333333,4.333333,-5.66667,3.666667,0.666667,1.666667
