,Delta_mP.1,Delta_mP.2,Delta_mP.3,Delta_mP.4,Delta_mP.5,Delta_mP.6,Delta_mP.7,Delta_mP.8,Delta_mP.9
DNA_nM,Control_a,Control_b,Control_c,GFP-1_a,GFP-1_b,GFP-1_c,GFP-1-Delta_11G_a,GFP-1-Delta_11G_b,GFP-1-Delta_11G_c
0.976563,-3,0,1,1,1,1,-1,-1,1
1.953125,-3,-1,2,3,2,2,1,0,1
3.90625,0,-2,-1,4,5,3,1,1,0
7.8125,0,-2,-1,9,8,9,1,1,-2
15.625,0,1,0,14,13,13,1,3,0
31.25,1,0,-1,23,20,21,0,0,1
62.5,1,0,1,25,24,23,2,2,0
125,2,2,1,29,29,27,3,0,1
250,2,1,2,28,27,27,4,6,3
500,4,4,2,31,29,30,6,4,3
1000,1,0,1,28,29,26,5,3,4
